Provider,Measure_ID,Value,Footnote,Start_Date,End_Date
010125,MSPB-1,0.903285,,01012014,12312014
010126,MSPB-1,0.987760,,01012014,12312014
010128,MSPB-1,0.834558,,01012014,12312014
010129,MSPB-1,0.956420,,01012014,12312014
010130,MSPB-1,0.854047,,01012014,12312014
010131,MSPB-1,0.981364,,01012014,12312014
010138,MSPB-1,0.948176,,01012014,12312014
010139,MSPB-1,1.016445,,01012014,12312014
010144,MSPB-1,0.970691,,01012014,12312014
010146,MSPB-1,1.075546,,01012014,12312014
010148,MSPB-1,0.848561,,01012014,12312014
010149,MSPB-1,0.946705,,01012014,12312014
010150,MSPB-1,1.016097,,01012014,12312014
010157,MSPB-1,1.027432,,01012014,12312014
010158,MSPB-1,0.939815,,01012014,12312014
010164,MSPB-1,1.008244,,01012014,12312014
010168,MSPB-1,0.942317,,01012014,12312014
010169,MSPB-1,0.959079,,01012014,12312014
020001,MSPB-1,0.899870,,01012014,12312014
020006,MSPB-1,0.746171,,01012014,12312014
020008,MSPB-1,0.849521,,01012014,12312014
020012,MSPB-1,0.786285,,01012014,12312014
020017,MSPB-1,0.884933,,01012014,12312014
020018,MSPB-1,0.666375,,01012014,12312014
020024,MSPB-1,0.853431,,01012014,12312014
020026,MSPB-1,0.944565,,01012014,12312014
020027,MSPB-1,0.850048,,01012014,12312014
030001,MSPB-1,1.014463,,01012014,12312014
030002,MSPB-1,0.975844,,01012014,12312014
030006,MSPB-1,0.992148,,01012014,12312014
030007,MSPB-1,0.935496,,01012014,12312014
030010,MSPB-1,0.975311,,01012014,12312014
030011,MSPB-1,0.986050,,01012014,12312014
030012,MSPB-1,0.980467,,01012014,12312014
030013,MSPB-1,0.989308,,01012014,12312014
030014,MSPB-1,0.977191,,01012014,12312014
030016,MSPB-1,0.879590,,01012014,12312014
030022,MSPB-1,0.887838,,01012014,12312014
030023,MSPB-1,0.912479,,01012014,12312014
030024,MSPB-1,1.012047,,01012014,12312014
030030,MSPB-1,0.968699,,01012014,12312014
030033,MSPB-1,0.912127,,01012014,12312014
030036,MSPB-1,0.999159,,01012014,12312014
030037,MSPB-1,0.948493,,01012014,12312014
030038,MSPB-1,1.014131,,01012014,12312014
030043,MSPB-1,0.938375,,01012014,12312014
030055,MSPB-1,0.898742,,01012014,12312014
030061,MSPB-1,0.925739,,01012014,12312014
030062,MSPB-1,0.895504,,01012014,12312014
030064,MSPB-1,0.988893,,01012014,12312014
030065,MSPB-1,0.969750,,01012014,12312014
030068,MSPB-1,0.915922,,01012014,12312014
030069,MSPB-1,0.848790,,01012014,12312014
030071,MSPB-1,0.752752,,01012014,12312014
030073,MSPB-1,0.706817,,01012014,12312014
030074,MSPB-1,0.716574,,01012014,12312014
030077,MSPB-1,N/A,1-The number of cases/patients is too few to report,01012014,12312014
030078,MSPB-1,0.742115,,01012014,12312014
030083,MSPB-1,0.948486,,01012014,12312014
030084,MSPB-1,0.725208,,01012014,12312014
030085,MSPB-1,1.021197,,01012014,12312014
030087,MSPB-1,1.030347,,01012014,12312014
030088,MSPB-1,0.973413,,01012014,12312014
030089,MSPB-1,0.983287,,01012014,12312014
030092,MSPB-1,0.953292,,01012014,12312014
030093,MSPB-1,0.953389,,01012014,12312014
030094,MSPB-1,0.993964,,01012014,12312014
030101,MSPB-1,0.905373,,01012014,12312014
030103,MSPB-1,0.914242,,01012014,12312014
030105,MSPB-1,1.004881,,01012014,12312014
030107,MSPB-1,0.913175,,01012014,12312014
030108,MSPB-1,0.891072,,01012014,12312014
030110,MSPB-1,0.972905,,01012014,12312014
030111,MSPB-1,0.939360,,01012014,12312014
030112,MSPB-1,1.047351,,01012014,12312014
030113,MSPB-1,0.801294,,01012014,12312014
030114,MSPB-1,0.963288,,01012014,12312014
030115,MSPB-1,0.899125,,01012014,12312014
030117,MSPB-1,0.881671,,01012014,12312014
030118,MSPB-1,0.941485,,01012014,12312014
030119,MSPB-1,0.992317,,01012014,12312014
030120,MSPB-1,1.014725,,01012014,12312014
030121,MSPB-1,1.034121,,01012014,12312014
030122,MSPB-1,0.960768,,01012014,12312014
030123,MSPB-1,0.979983,,01012014,12312014
030130,MSPB-1,0.930854,,01012014,12312014
030131,MSPB-1,0.957074,,01012014,12312014
030132,MSPB-1,0.846957,,01012014,12312014
030134,MSPB-1,0.886027,,01012014,12312014
040001,MSPB-1,1.013883,,01012014,12312014
040002,MSPB-1,0.891841,,01012014,12312014
040004,MSPB-1,1.039686,,01012014,12312014
040007,MSPB-1,0.996470,,01012014,12312014
040010,MSPB-1,0.983373,,01012014,12312014
040011,MSPB-1,0.868728,,01012014,12312014
040014,MSPB-1,0.980644,,01012014,12312014
040015,MSPB-1,1.087923,,01012014,12312014
040016,MSPB-1,1.002567,,01012014,12312014
040017,MSPB-1,0.919295,,01012014,12312014
040018,MSPB-1,0.947809,,01012014,12312014
040019,MSPB-1,0.918808,,01012014,12312014
040020,MSPB-1,0.991422,,01012014,12312014
040022,MSPB-1,0.976883,,01012014,12312014
